imputer,normalizer,tamer__detector,tamer__remediation,selector,balancer,classifier__max_features,classifier__penalty,_family,tamer__contamination,tamer__mad_threshold,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__colsample_bytree,classifier__min_child_weight,classifier__min_child_samples,classifier__reg_alpha,classifier__reg_lambda,classifier__scale_pos_weight,classifier__num_leaves,classifier__min_samples_leaf,classifier__iterations,classifier__depth,classifier__l2_leaf_reg,classifier__C,classifier__estimator__xgb__learning_rate,classifier__estimator__xgb__max_depth,classifier__estimator__xgb__scale_pos_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,range_pr_auc,cv_pr_auc,uncertainty_aware_score,brier_mean,recall_at_spec90_mean
IterativeModelImputer,ZScoreNormalizationNorm,iforest,none,SelectKBestFilter(k=10),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.04484001650516331,3.0360519368161483,0.029561672467103093,11.0,193.0,0.5407798372344051,0.891674127246048,8.0,,0.003271640821858429,4.977202482883741,2.620491628827126,,,,,,,,,,0.22752829051810472,0.01601320206933469,0.6730671087153632,0.013490984297618447,0.04293269040554937,0.07037894950500892,0.21952168948343737,,
InterpolateImputer,ZScoreNormalizationNorm,iforest,cluster_local_median,SelectKBestFilter(k=40),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.01371598030413384,2.7696453924289703,0.02613641026780134,4.0,468.0,0.5980120598281051,0.9262549263089743,8.0,,1.4334910395404041,1.475956254259338,5.2536950426959645,,,,,,,,,,0.21257305946984265,0.016602713867232673,0.6821217908732939,0.009793822525696815,0.046884771223905775,0.0781035654689256,0.2042717025362263,,
ClassMeanImputer,ZScoreNormalizationNorm,statistical,none,TreeBasedSelection,BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.05681959229996423,3.5165156336602337,0.034497687721017356,4.0,120.0,0.6644103437390183,0.6940841275226558,32.0,,1.9560125922374463,0.1986933457609782,8.704186419482813,,,,,,,,,,0.2606551513064143,0.00687155165251651,0.7066682086658479,0.019784421967946705,0.018324278652271764,0.026362615962416285,0.25721937548015605,,
MeanImputer,RobustScalerNorm,statistical,cluster_local_median,SelectKBestFilter(k=20),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.015455594152980506,2.5938822257039895,0.022574221160714964,8.0,146.0,0.6837831295536825,0.8391554780623773,3.0,,0.006606206787655033,0.11977299095253745,4.1462621755299125,,,,,,,,,,0.21598509471980912,0.02101357065382631,0.6684288394841819,0.02012179413463666,0.05615159190195684,0.09729176303154889,0.20547830939289596,,
ClassMeanImputer,ZScoreNormalizationNorm,cluster,percentile_clip,SelectKBestFilter(k=30),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.11876310123509984,3.3955301796709074,0.258727247370936,10.0,288.0,0.8465934740880943,0.5565197622775253,19.0,,0.05089095354532853,5.827263708245099,1.5596482631865312,,,,,,,,,,0.2065426676592499,0.013849325006132255,0.660856072127514,0.013043644249709278,0.035771842292207034,0.06705309446753445,0.19961800515618378,,
ClassMeanImputer,RobustScalerNorm,cluster,percentile_clip,SelectKBestFilter(k=40),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.008469826375604755,2.4784017172599597,0.15588218236958115,8.0,275.0,0.5553278555462479,0.7457271729616104,3.0,,2.4987666974853058,1.006077477403425,8.096042598038938,,,,,,,,,,0.20512433692682314,0.01099822534476229,0.6769089159437625,0.014698766698671583,0.03153278889059169,0.05361735964409645,0.19962522425444199,,
ClassMeanImputer,ZScoreNormalizationNorm,cluster,percentile_clip,SelectKBestFilter(k=10),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.08274452447494524,3.929471442522158,0.018361040057527818,2.0,206.0,0.7140508885849834,0.7854775619439576,12.0,,0.8094335015168264,0.25396959859096685,3.924602177229699,,,,,,,,,,0.26258421271650273,0.006423556220461708,0.7044229680978991,0.013185702585837983,0.01361859770312318,0.02446284243065617,0.25937243460627185,,
MeanImputer,ZScoreNormalizationNorm,statistical,shrink,SelectKBestFilter(k=40),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.02905177943515326,2.600151184247212,0.0739446187147616,7.0,161.0,0.674910602958536,0.6482578528449814,7.0,,0.012577543130161488,0.22968701183468634,6.597735919091364,,,,,,,,,,0.21654722063643222,0.016943411940687998,0.6723782209161001,0.01529087035161218,0.048287785309220066,0.07824349761170481,0.20807551466608823,,
IterativeModelImputer,RobustScalerNorm,iforest,mad_replace,SelectKBestFilter(k=30),FunctionSampler,absent,absent,xgb,0.00979283304321329,2.151725146224855,0.06334868727122214,6.0,367.0,0.5068256112314095,0.9924408031486982,14.0,,0.033642036281403935,2.1066773323936916,4.918470160678431,,,,,,,,,,0.2060809305356281,0.02020082643275077,0.6723722980851881,0.022139348075088595,0.0632863941645534,0.0980237539700859,0.1959805173192527,,
ClassMeanImputer,ZScoreNormalizationNorm,statistical,percentile_clip,SelectKBestFilter(k=30),FunctionSampler,absent,absent,xgb,0.06466385531570948,3.2787470433173844,0.017569375353222318,12.0,980.0,0.705512862639189,0.7096293427226068,21.0,,0.004273256817452062,4.02654740172854,9.808143440500025,,,,,,,,,,0.24874967624373484,0.015148361623949556,0.6963245277275835,0.011260654425550463,0.04464920505243708,0.06089801543744157,0.24117549543176006,,
