iter	Passed	Remaining
555	3189	2547
556	3194	2540
557	3200	2534
558	3205	2528
559	3211	2523
560	3217	2518
561	3224	2513
562	3230	2507
563	3236	2502
564	3241	2495
565	3246	2489
566	3251	2482
567	3256	2476
568	3261	2470
569	3267	2465
570	3274	2459
571	3280	2454
572	3287	2449
573	3293	2444
574	3300	2439
575	3307	2434
576	3313	2429
577	3321	2424
578	3327	2419
579	3334	2414
580	3340	2409
581	3346	2403
582	3352	2398
583	3357	2391
584	3362	2385
585	3367	2379
586	3372	2372
587	3376	2365
588	3380	2359
589	3385	2352
590	3388	2345
591	3392	2337
592	3396	2331
593	3401	2324
594	3405	2317
595	3408	2310
596	3413	2304
597	3417	2297
598	3421	2290
599	3425	2283
600	3429	2277
601	3434	2270
602	3438	2263
603	3442	2256
604	3446	2250
605	3450	2243
606	3454	2236
607	3457	2229
608	3461	2222
609	3466	2215
610	3470	2209
611	3473	2202
612	3477	2195
613	3482	2189
614	3486	2182
615	3489	2175
616	3494	2168
617	3498	2162
618	3502	2155
619	3506	2148
620	3510	2142
621	3515	2136
622	3520	2130
623	3524	2123
624	3529	2117
625	3534	2111
626	3538	2104
627	3542	2098
628	3547	2092
629	3552	2086
630	3557	2080
631	3564	2075
632	3569	2069
633	3575	2063
634	3580	2058
635	3585	2052
636	3590	2046
637	3597	2040
638	3601	2034
639	3605	2027
640	3610	2022
641	3614	2015
642	3619	2009
643	3623	2003
644	3628	1997
645	3633	1991
646	3639	1985
647	3645	1980
648	3651	1975
649	3658	1970
650	3665	1965
651	3671	1959
652	3678	1954
653	3685	1949
654	3692	1944
655	3698	1939
656	3706	1934
657	3713	1929
658	3721	1925
659	3728	1920
660	3734	1915
661	3742	1910
662	3748	1905
663	3754	1900
664	3761	1894
665	3766	1888
666	3771	1883
667	3776	1877
668	3781	1870
669	3785	1864
670	3791	1858
671	3794	1852
672	3798	1845
673	3802	1839
674	3806	1832
675	3811	1826
676	3815	1820
677	3819	1813
678	3823	1807
679	3828	1801
680	3832	1795
681	3838	1789
682	3844	1784
683	3850	1778
684	3856	1773
685	3862	1768
686	3870	1763
687	3876	1758
688	3882	1752
689	3889	1747
690	3895	1742
691	3901	1736
692	3906	1730
693	3911	1724
694	3917	1718
695	3922	1713
696	3926	1706
697	3930	1700
698	3935	1694
699	3939	1688
700	3942	1681
701	3947	1675
702	3951	1669
703	3955	1663
704	3959	1656
705	3963	1650
706	3968	1644
707	3972	1638
708	3976	1632
709	3979	1625
710	3984	1619
711	3988	1613
712	3992	1607
713	3996	1600
714	4001	1594
715	4004	1588
716	4008	1582
717	4012	1576
718	4017	1570
719	4021	1563
720	4025	1557
721	4029	1551
722	4034	1545
723	4037	1539
724	4041	1532
725	4045	1526
726	4050	1520
727	4054	1514
728	4058	1508
729	4062	1502
730	4067	1496
731	4071	1490
732	4076	1484
733	4082	1479
734	4088	1474
735	4094	1468
736	4101	1463
737	4108	1458
738	4115	1453
739	4123	1448
740	4130	1443
741	4138	1438
742	4145	1434
743	4153	1429
744	4161	1424
745	4170	1419
746	4179	1415
747	4186	1410
748	4192	1404
749	4198	1399
750	4204	1394
751	4209	1388
752	4215	1382
753	4219	1376
754	4223	1370
755	4228	1364
756	4232	1358
757	4236	1352
758	4241	1346
759	4245	1340
760	4249	1334
761	4253	1328
762	4258	1322
763	4261	1316
764	4265	1310
765	4269	1304
766	4273	1298
767	4278	1292
768	4281	1286
769	4285	1280
770	4289	1274
771	4294	1268
772	4299	1262
773	4302	1256
774	4307	1250
775	4311	1244
776	4315	1238
777	4319	1232
778	4325	1227
779	4330	1221
780	4335	1215
781	4342	1210
782	4348	1205
783	4354	1199
784	4361	1194
785	4368	1189
786	4375	1184
787	4383	1179
788	4389	1173
789	4397	1168
790	4403	1163
791	4410	1158
792	4416	1152
793	4421	1147
794	4427	1141
795	4432	1136
796	4439	1130
797	4445	1125
798	4451	1119
799	4456	1114
800	4460	1108
801	4465	1102
802	4469	1096
803	4474	1090
804	4478	1084
805	4481	1078
806	4486	1072
807	4490	1067
808	4494	1061
809	4497	1054
810	4501	1049
811	4505	1043
812	4509	1037
813	4513	1031
814	4517	1025
815	4522	1019
816	4526	1013
817	4529	1007
818	4533	1001
819	4538	996
820	4542	990
821	4546	984
822	4550	978
823	4553	972
824	4558	966
825	4562	961
826	4566	955
827	4571	949
828	4574	943
829	4578	937
830	4583	932
831	4587	926
832	4592	920
833	4595	914
834	4599	908
835	4604	903
836	4608	897
837	4612	891
838	4616	885
839	4620	880
840	4624	874
841	4628	868
842	4632	862
843	4636	857
844	4640	851
845	4644	845
846	4648	839
847	4652	833
848	4656	828
849	4661	822
850	4666	816
851	4670	811
852	4674	805
853	4679	799
854	4684	794
855	4690	789
856	4696	783
857	4702	778
858	4708	772
859	4714	767
860	4720	762
861	4725	756
862	4730	751
863	4735	745
864	4739	739
865	4744	734
866	4749	728
867	4753	722
868	4757	717
869	4761	711
870	4766	705
871	4770	700
872	4773	694
873	4778	688
874	4782	683
875	4786	677
876	4791	671
877	4795	666
878	4799	660
879	4803	655
880	4806	649
881	4810	643
882	4814	637
883	4818	632
884	4822	626
885	4826	621
886	4830	615
887	4834	609
888	4838	604
889	4842	598
890	4847	592
891	4850	587
892	4854	581
893	4858	576
894	4863	570
895	4867	564
896	4870	559
897	4875	553
898	4879	548
899	4883	542
900	4887	537
901	4891	531
902	4896	525
903	4899	520
904	4904	514
905	4909	509
906	4914	503
907	4919	498
908	4925	493
909	4931	487
910	4936	482
911	4943	476
912	4948	471
913	4954	466
914	4960	460
915	4965	455
916	4971	449
917	4978	444
918	4985	439
919	4992	434
920	4998	428
921	5005	423
922	5011	418
923	5018	412
924	5027	407
925	5033	402
926	5039	396
927	5045	391
928	5050	385
929	5055	380
930	5060	375
931	5065	369
932	5069	364
933	5073	358
934	5077	353
935	5082	347
936	5086	342
937	5090	336
938	5094	330
939	5099	325
940	5103	319
941	5107	314
942	5111	308
943	5115	303
944	5120	298
945	5125	292
946	5129	287
947	5136	281
948	5142	276
949	5147	270
950	5153	265
951	5157	260
952	5163	254
953	5169	249
954	5176	243
955	5182	238
956	5187	233
957	5192	227
958	5196	222
959	5201	216
960	5206	211
961	5210	205
962	5214	200
963	5219	194
964	5223	189
965	5226	183
966	5229	178
967	5233	173
968	5238	167
969	5242	162
970	5245	156
971	5249	151
972	5254	145
973	5257	140
974	5261	134
975	5265	129
976	5271	124
977	5275	118
978	5279	113
979	5283	107
980	5287	102
981	5292	97
982	5296	91
983	5301	86
984	5306	80
985	5311	75
986	5317	70
987	5322	64
988	5327	59
989	5333	53
990	5338	48
991	5343	43
992	5347	37
993	5352	32
994	5357	26
995	5361	21
996	5366	16
997	5370	10
998	5374	5
999	5380	0
